channel,energy_ev,score,prominence,d2_real,d2_imag,eps1,eps2,cp_energy_ev,gamma_ev,amp_real,amp_imag,c0_real,c0_imag,c1_real,c1_imag,rms,success,nfev,window_ev,exponent
parallel,0.753886110042324,214.82524294457596,105.72103337149936,112.05367451553681,183.286276174083,11.819072332437122,0.874796989748201,0.8538861100423238,0.12424552324050273,1.1729128823944577,0.9376379495663529,61.942951361996904,107.17428500182066,-1137.8916920624192,-121.87569751052216,36.74370906221877,True,27,0.2,2.0
parallel,0.8471527510580993,122.10328835255451,80.03674589221981,67.55720991253976,-101.71153531109495,12.123892569208872,0.568652422264994,0.7471527510581032,0.1999999999990641,-5.135010630760001,-5.404171184407414,-12.642465480434973,-19.692836413769307,288.1304546088427,-357.85282336538336,76.96103603488727,True,23,0.2,2.0
parallel,1.00454020777222,192.36037713989015,40.568886516186154,-63.364982875623156,-181.6243200636213,12.571850614113014,1.0770457532132143,1.0830753052678836,0.0730888583399409,-1.3018957926149297,-0.6669703230504603,-79.57231124745459,-15.158887436743964,-351.32226495328877,-476.2410779687544,63.08506893821067,True,21,0.2,2.0
parallel,1.1677568295498268,244.51803444074255,157.42360179519093,-236.27230618043964,62.964009552606655,13.386453837961183,1.4205188187484847,1.141181089356905,0.08867154536813343,1.4492072296178717,-2.1448990810625457,31.0356648568725,-72.13683428606288,846.6960584337481,548.4614008200545,105.07774041804232,True,12,0.2,2.0
parallel,1.3095998460946516,345.5108276663272,336.81503163789023,322.8003876980907,-123.19757195916151,12.77982541949181,2.071365041293024,1.3175394060691634,0.07199483407307218,-1.84467358323238,0.10928168801858293,-58.24111966360872,3.045070453545706,239.55571022960004,-652.7887963456249,79.90051135023668,True,7,0.2,2.0
parallel,1.393151212004617,185.6115314989132,26.78776180970459,-50.65083733573997,178.5668874751432,13.300410866421885,1.8147520193533815,1.3244344506813888,0.06517675655091895,-1.3912645923755986,-0.22428083949950808,-43.92171462326821,-23.042420452226263,252.9675528992032,-124.72816205043506,59.551211408390635,True,14,0.2,2.0
parallel,1.4844747979992303,109.51671713312928,22.533118244989595,74.58983855100442,-80.18894759599323,13.691076100060677,2.3750594520802664,1.3844747979992305,0.08377226679655442,0.5364855138153022,-1.8679306602794086,69.26601978278387,-73.3070931447653,-68.12668260969716,495.4175835537724,68.33366460895805,True,19,0.2,2.0
parallel,3.0253174297806846,147.41606762164025,11.272249709650026,-3.9744784514210854,-147.36248000786088,8.255255399683696,16.44044075756148,3.0711809349075927,0.11892966281260485,-0.9825199667872655,1.9575095854509819,13.269445657560553,-3.393781381433941,-19.22092198703012,110.03219560399934,28.1237123587245,True,8,0.2,2.0
parallel,3.1146979607541363,186.4502918534429,180.06785309652207,177.74199745300263,-56.31601613795883,6.3351363843290684,15.804362681140123,3.0782348509582977,0.11928040102599001,-1.3317936498476972,1.790343897909015,5.954464445708227,-6.656599974666125,1.328155130946201,18.657488660369566,24.336395328898515,True,8,0.2,2.0
parallel,3.2001923816852633,109.07117580975223,34.8664222369615,94.36637652791764,54.694683228931446,5.351742183251556,14.750993701052943,3.1001923816852637,0.12483182307282663,-2.0557365176883544,1.0673950656307376,-5.0761496106384305,-24.71341877591512,110.09504681612209,56.24813195617924,24.784076819480784,True,15,0.2,2.0
parallel,4.857618314736437,129.48299806790448,127.21005732260824,123.5734312329906,-38.6710987942973,-6.746707141260754,11.654966814307686,4.890282783652866,0.19999999999999998,-5.077210102160168,-0.28186512713574385,0.4017217212672883,-8.240749861286373,18.16135642150815,10.290731802398664,6.322777277089533,True,13,0.2,2.0
parallel_minus_perp,0.9481916121585225,77.639058937229,71.90668824054198,35.29634200297596,-69.15194656600401,-0.10527324253475685,-0.04944324850418611,0.9582402791287649,0.04762048814485944,-0.1401252235427762,0.07939953449241918,-3.444541822325223,6.284899435190449,3.0096125396037814,-84.32561446398124,20.913567426942485,True,7,0.2,2.0
parallel_minus_perp,1.1677568295498268,74.4384889528329,64.49854687552407,-42.37170137942919,61.20234929962659,0.11079331484322946,-0.10903578134648192,1.1952385323635617,0.030745851730861296,0.038189276891685664,0.023407599273890592,-0.335033186980556,1.9501346371610764,-26.260518739217733,-95.88313919760239,28.695320205685334,True,9,0.2,2.0
parallel_minus_perp,2.29667179684494,70.29955685713863,67.88343245255417,68.78218397987555,-14.527176644779113,0.44903255096792016,-0.009030588525374382,2.39667179684494,0.1999941645638747,0.45218879472861134,-0.30894545963699704,-14.049640362774614,-5.347946571255167,-52.32337051937818,-44.665242485741686,31.125595676075154,True,21,0.2,2.0
parallel_minus_perp,2.4715467487495193,94.26100176776556,76.52322831637659,-87.51849966656602,35.009265493237464,0.31566697930005655,0.442185655647216,2.545169220788117,0.19999999999987092,0.9199549147051191,1.9122180289183797,15.443495983308258,5.740716236465158,28.70995155895328,41.12391619467175,40.810959269246716,True,13,0.2,2.0
parallel_minus_perp,2.623105040400154,145.46218978525658,144.22079259687547,123.380812748466,-77.04819078115966,-0.30439731631461575,0.4571282274949764,2.723105040392203,0.19999999999505258,-3.6472778098366203,-1.3750185706310212,-38.40920330369367,-14.163111015812069,-33.02777665586617,-141.11056919187965,48.290600077603074,True,17,0.2,2.0
