wavelength_nm,energy_ev,eps1_perp,eps2_perp,eps1_para,eps2_para,redchi,nfev,success
330,3.7570969,3.9963574,12.284534,4.0640173,12.44325,7.9122642e-05,10,False
331,3.7457462,4.0044352,12.282926,4.0738532,12.444462,8.5107959e-05,10,False
332,3.7344638,4.0123967,12.284878,4.0628084,12.438478,8.9359389e-05,10,False
333,3.7232492,4.0139023,12.287402,4.077012,12.444761,8.9554944e-05,10,False
334,3.7121017,4.0142165,12.289419,4.1002086,12.464753,8.2954891e-05,10,False
335,3.7010208,4.0187581,12.299196,4.0896572,12.46197,8.4099787e-05,10,False
336,3.6900059,4.0284709,12.313633,4.0795459,12.462091,8.0771048e-05,10,False
337,3.6790563,4.0381024,12.314776,4.107723,12.479867,9.9160429e-05,10,False
338,3.6681716,4.0591084,12.321609,4.1450556,12.482118,0.00013851626,10,False
339,3.657351,4.0539192,12.327711,4.1597702,12.493755,0.00012760773,10,False
340,3.6465941,4.0507176,12.348861,4.1381056,12.505085,0.0001010339,10,False
341,3.6359002,4.0541412,12.375454,4.1262598,12.519651,0.00011003651,10,False
342,3.625269,4.0579184,12.396525,4.1457064,12.53987,0.00013223765,10,False
343,3.6146997,4.0704532,12.404703,4.1722691,12.563444,0.00012778331,10,False
344,3.6041918,4.0907223,12.418059,4.2019267,12.581523,0.00011091337,10,False
345,3.5937449,4.1100202,12.438035,4.2351963,12.591186,0.00011530766,10,False
346,3.5833583,4.1310941,12.471283,4.2370562,12.611936,0.00011486605,10,False
347,3.5730317,4.146131,12.50095,4.2220393,12.630725,0.00010630777,10,False
348,3.5627643,4.1400217,12.520313,4.2486741,12.662438,0.00010797589,10,False
349,3.5525558,4.1453895,12.547123,4.2662983,12.689851,0.00011912687,10,False
350,3.5424057,4.1583848,12.573437,4.2732646,12.720238,9.171712e-05,10,False
351,3.5323133,4.171465,12.601282,4.286522,12.7506,8.7632968e-05,10,False
352,3.5222784,4.1901611,12.6343,4.2875234,12.770749,9.0542875e-05,10,False
353,3.5123002,4.1915333,12.662359,4.3158534,12.801719,0.00011668415,10,False
354,3.5023785,4.2047377,12.695432,4.3373948,12.835939,0.00011122904,10,False
355,3.4925126,4.2299945,12.731165,4.3426521,12.866098,0.00010809893,10,False
356,3.4827022,4.2262115,12.760936,4.3762644,12.906226,0.00011264563,10,False
357,3.4729467,4.2337362,12.794796,4.4010463,12.943213,0.00010414222,10,False
358,3.4632458,4.2711003,12.841057,4.3813459,12.967527,0.00011920681,10,False
359,3.4535988,4.285476,12.886061,4.4026441,13.00181,9.7715858e-05,10,False
360,3.4440055,4.3015478,12.917292,4.4178505,13.041599,8.2407783e-05,10,False
361,3.4344653,4.3153266,12.961091,4.4435698,13.090061,9.0701119e-05,10,False
362,3.4249779,4.335429,13.00599,4.4646099,13.133838,9.8779072e-05,10,False
363,3.4155427,4.3628748,13.050247,4.467253,13.172981,9.1388671e-05,10,False
364,3.4061593,4.3881961,13.103561,4.4746289,13.222947,8.1547506e-05,10,False
365,3.3968274,4.3954277,13.149961,4.5227352,13.278287,9.0990404e-05,10,False
366,3.3875464,4.4198988,13.204134,4.5441983,13.31805,9.2552435e-05,10,False
367,3.378316,4.453694,13.259159,4.5675535,13.357283,0.0001053362,10,False
368,3.3691358,4.4777086,13.311249,4.5873248,13.408359,9.3049504e-05,10,False
369,3.3600054,4.4902846,13.359765,4.6240696,13.474434,9.7148937e-05,10,False
370,3.3509243,4.5287418,13.418819,4.6355442,13.527264,0.00010383047,10,False
371,3.3418921,4.5524076,13.47216,4.6787794,13.584109,0.00010022832,10,False
372,3.3329086,4.5682353,13.527833,4.720979,13.645819,9.8952751e-05,10,False
373,3.3239731,4.606158,13.586003,4.7386548,13.698452,9.1990043e-05,10,False
374,3.3150855,4.6493518,13.650641,4.7668144,13.753964,9.554815e-05,10,False
375,3.3062453,4.6844767,13.720423,4.7832757,13.81027,9.4636804e-05,10,False
376,3.2974521,4.7000101,13.776242,4.8419283,13.885972,0.00011143022,10,False
377,3.2887055,4.7193193,13.836264,4.9121613,13.962681,0.00011520659,10,False
378,3.2800052,4.7701386,13.916047,4.9150489,14.016095,9.1540973e-05,10,False
379,3.2713509,4.811759,13.990564,4.9419342,14.080155,6.9104775e-05,10,False
380,3.2627421,4.8500413,14.058097,4.9806548,14.151828,7.5062535e-05,10,False
381,3.2541784,4.8819278,14.129775,5.0381433,14.227621,9.8354525e-05,10,False
382,3.2456596,4.9208042,14.21013,5.0818494,14.298193,0.00010257353,10,False
383,3.2371853,4.979049,14.293359,5.0970829,14.363109,9.4648588e-05,10,False
384,3.2287552,5.0276701,14.371627,5.1372222,14.441826,9.790792e-05,10,False
385,3.2203688,5.0652412,14.450137,5.222119,14.539909,8.5818944e-05,10,False
386,3.2120259,5.1146614,14.534672,5.2832938,14.625166,7.1730874e-05,10,False
387,3.2037261,5.1827403,14.631016,5.3311507,14.709989,8.718792e-05,10,False
388,3.195469,5.2352778,14.720689,5.416613,14.81654,9.73932e-05,10,False
389,3.1872545,5.304353,14.816137,5.4558217,14.887483,0.00010916371,10,False
390,3.179082,5.3670989,14.911988,5.5252245,14.975014,0.00010075958,10,False
391,3.1709514,5.4194853,15.003949,5.6360784,15.09345,8.8850328e-05,10,False
392,3.1628622,5.5225824,15.113613,5.6809152,15.178011,9.0011762e-05,10,False
393,3.1548142,5.6253165,15.22286,5.7631276,15.28404,9.9046407e-05,10,False
394,3.1468071,5.7217255,15.331555,5.834527,15.385123,9.2652614e-05,10,False
395,3.1388405,5.8137141,15.432434,5.9380881,15.500532,8.249477e-05,10,False
396,3.1309141,5.9123251,15.538484,6.0737916,15.605557,0.00010351885,10,False
397,3.1230277,6.0238298,15.641274,6.1970791,15.703555,9.3363733e-05,10,False
398,3.1151809,6.1564375,15.746712,6.3241613,15.798312,8.9792476e-05,10,False
399,3.1073734,6.303754,15.855126,6.4477569,15.889059,8.4700763e-05,10,False
400,3.099605,6.4490801,15.949549,6.5813347,15.982219,7.9299569e-05,10,False
401,3.0918753,6.5809211,16.034191,6.751098,16.079851,7.3664312e-05,10,False
402,3.084184,6.7454881,16.117391,6.9122073,16.154489,8.6518674e-05,10,False
403,3.076531,6.9189103,16.191146,7.0715293,16.214741,8.404904e-05,10,False
404,3.0689158,7.0958057,16.256377,7.2346958,16.269033,9.4171062e-05,10,False
405,3.0613382,7.2747336,16.316983,7.4119762,16.315952,9.7339767e-05,10,False
406,3.053798,7.4618145,16.368345,7.573909,16.36917,8.7419568e-05,10,False
407,3.0462948,7.6289266,16.413739,7.7421092,16.386908,8.2465829e-05,10,False
408,3.0388284,7.8005059,16.420546,7.9082774,16.422992,8.7611157e-05,10,False
409,3.0313985,7.9639356,16.429247,8.106369,16.449034,8.1269786e-05,10,False
410,3.0240048,8.1061425,16.442086,8.3347682,16.451046,9.8395263e-05,10,False
411,3.0166472,8.2921182,16.446741,8.4931978,16.44917,8.3926226e-05,10,False
412,3.0093252,8.4925643,16.448574,8.6296345,16.439784,7.1587951e-05,10,False
413,3.0020387,8.6277905,16.448615,8.8304932,16.433395,7.0248933e-05,10,False
414,2.9947874,8.7606658,16.427767,9.0108687,16.439337,9.4741559e-05,10,False
415,2.987571,8.9446005,16.407043,9.1250409,16.397414,8.7780026e-05,10,False
416,2.9803894,9.1157354,16.395339,9.2525424,16.359255,7.5042169e-05,10,False
417,2.9732422,9.2525806,16.370487,9.4296498,16.327674,6.9381564e-05,10,False
418,2.9661291,9.4080243,16.345613,9.551049,16.276952,6.6421381e-05,10,False
419,2.9590501,9.522585,16.309178,9.7216723,16.261911,8.4630057e-05,10,False
420,2.9520047,9.6941337,16.281305,9.8360801,16.215477,8.5668031e-05,10,False
421,2.9449928,9.8507955,16.258267,9.9624633,16.170139,7.2719259e-05,10,False
422,2.9380142,9.9748747,16.230777,10.12572,16.133652,6.6048352e-05,10,False
423,2.9310685,10.113118,16.197636,10.251492,16.08253,6.5286337e-05,10,False
424,2.9241556,10.245526,16.154473,10.371073,16.043125,6.4349625e-05,10,False
425,2.9172753,10.365201,16.114782,10.497661,15.989163,7.2152945e-05,10,False
426,2.9104272,10.502357,16.07307,10.600734,15.944445,7.7569593e-05,10,False
427,2.9036112,10.650189,16.03478,10.715963,15.90079,8.9406802e-05,10,False
428,2.8968271,10.770678,15.996395,10.87132,15.848212,7.0237277e-05,10,False
429,2.8900746,10.875071,15.955001,11.012373,15.794647,7.144044e-05,10,False
430,2.8833535,11.014164,15.900709,11.108241,15.75026,7.6343107e-05,10,False
431,2.8766635,11.150588,15.858561,11.207372,15.691807,6.3422572e-05,10,False
432,2.8700046,11.276526,15.826313,11.295622,15.623864,5.5405591e-05,10,False
433,2.8633764,11.424833,15.770249,11.394607,15.579281,6.1696718e-05,10,False
434,2.8567788,11.536254,15.724698,11.540047,15.518496,7.2721429e-05,10,False
435,2.8502115,11.652745,15.677834,11.649446,15.443364,7.7306604e-05,10,False
436,2.8436743,11.78429,15.6121,11.751628,15.401577,6.7820624e-05,10,False
437,2.837167,11.915976,15.548862,11.833959,15.357571,6.7424412e-05,10,False
438,2.8306895,12.036419,15.498839,11.951184,15.296748,6.4156974e-05,10,False
439,2.8242414,12.16359,15.435945,12.051399,15.22871,6.4117586e-05,10,False
440,2.8178227,12.275232,15.374783,12.153604,15.160801,7.2135825e-05,10,False
441,2.8114331,12.405536,15.313272,12.256707,15.098422,7.1530164e-05,10,False
442,2.8050724,12.534988,15.238425,12.348972,15.042472,5.7135827e-05,10,False
443,2.7987404,12.65054,15.160098,12.429791,14.995845,5.6015443e-05,10,False
444,2.7924369,12.782171,15.08716,12.508,14.927083,5.1021432e-05,10,False
445,2.7861618,12.890665,15.018193,12.616813,14.845938,5.5253312e-05,10,False
446,2.7799148,13.004301,14.939593,12.688752,14.780861,6.1233117e-05,10,False
447,2.7736957,13.113019,14.858659,12.783741,14.717609,7.151322e-05,10,False
448,2.7675044,13.205758,14.773896,12.906036,14.641793,7.2339933e-05,10,False
449,2.7613407,13.313265,14.684455,12.965932,14.591298,5.4035693e-05,10,False
