wavelength_nm,energy_ev,eps1_perp,eps2_perp,eps1_para,eps2_para,redchi,nfev,success
1425,0.87006455,12.281083,0.66934789,12.237269,0.62581073,7.7309236e-05,10,False
1427.5,0.86854079,12.275314,0.66671363,12.232224,0.6228971,7.6169169e-05,10,False
1430,0.86702237,12.269918,0.66299987,12.227794,0.62136004,7.6705368e-05,10,False
1432.5,0.86550924,12.262593,0.66138976,12.221824,0.61702327,7.8646784e-05,10,False
1435,0.86400138,12.256217,0.65944929,12.216135,0.61333117,7.7745298e-05,10,False
1437.5,0.86249877,12.250021,0.65719106,12.210783,0.60955727,7.8589936e-05,10,False
1440,0.86100138,12.242498,0.65468069,12.205671,0.60676392,7.4261631e-05,10,False
1442.5,0.85950917,12.237479,0.65311866,12.200685,0.60291218,7.3243973e-05,10,False
1445,0.85802213,12.233327,0.6517395,12.19533,0.59841442,7.8369128e-05,10,False
1447.5,0.85654023,12.224547,0.64969035,12.187725,0.5962248,7.4170612e-05,10,False
1450,0.85506344,12.218306,0.64627273,12.182171,0.59437072,7.4769076e-05,10,False
1452.5,0.85359173,12.213269,0.64194508,12.17763,0.59223992,7.717187e-05,10,False
1455,0.85212508,12.206785,0.64066523,12.170708,0.59020701,7.4935031e-05,10,False
1457.5,0.85066345,12.200677,0.63764422,12.163869,0.59021316,7.502334e-05,10,False
1460,0.84920684,12.194332,0.63380819,12.157191,0.59032868,7.6124856e-05,10,False
1462.5,0.8477552,12.18691,0.6359992,12.153498,0.5839697,7.175809e-05,10,False
1465,0.84630852,12.180956,0.63558768,12.148553,0.57884486,7.2878965e-05,10,False
1467.5,0.84486677,12.175638,0.63275644,12.142189,0.57473313,7.7564894e-05,10,False
1470,0.84342992,12.167365,0.62939392,12.13642,0.57516124,7.5353348e-05,10,False
1472.5,0.84199795,12.161202,0.62702625,12.131656,0.57235319,7.6318317e-05,10,False
1475,0.84057084,12.156406,0.62488101,12.126817,0.56781883,7.791102e-05,10,False
