wavelength_nm,energy_ev,eps1_perp,eps2_perp,eps1_para,eps2_para,redchi,nfev,success
210,5.9040094,-2.8793721,4.1983304,-2.9472039,4.1578999,7.4618408e-05,10,False
211,5.8760284,-2.9484471,4.2196676,-3.0112749,4.1748167,7.1950904e-05,10,False
212,5.8483112,-3.0067922,4.2510021,-3.0731269,4.2149525,7.4507263e-05,10,False
213,5.8208544,-3.0685417,4.2877157,-3.1354919,4.2552315,7.7808436e-05,10,False
214,5.7936541,-3.133045,4.3263597,-3.1970794,4.2942619,7.0224643e-05,10,False
215,5.7667069,-3.1974394,4.3645288,-3.260556,4.3380829,7.0948171e-05,10,False
216,5.7400092,-3.2651987,4.4101493,-3.3274966,4.3788962,6.738364e-05,10,False
217,5.7135575,-3.3353609,4.4565063,-3.3979552,4.4223086,6.2190216e-05,10,False
218,5.6873486,-3.4065297,4.5040665,-3.469581,4.4681469,6.19574e-05,10,False
219,5.6613789,-3.4827914,4.5538858,-3.5413918,4.5161719,6.1093711e-05,10,False
220,5.6356454,-3.5612603,4.6049541,-3.6190359,4.569376,6.0251064e-05,10,False
221,5.6101447,-3.6402701,4.6579723,-3.7014818,4.6280619,6.4879515e-05,10,False
222,5.5848738,-3.7234309,4.7165544,-3.7839858,4.6849462,6.3970051e-05,10,False
223,5.5598295,-3.8100203,4.7790954,-3.8689969,4.7431864,6.2092584e-05,10,False
224,5.5350089,-3.8983163,4.8414469,-3.9574825,4.8113811,5.7981232e-05,10,False
225,5.5104088,-3.9898309,4.9099552,-4.0471061,4.8786396,5.6787057e-05,10,False
226,5.4860265,-4.0847287,4.9828327,-4.1405935,4.9527191,6.0182704e-05,10,False
227,5.461859,-4.1805014,5.058735,-4.2389184,5.0288633,5.9792902e-05,10,False
228,5.4379034,-4.2804279,5.1413434,-4.3367524,5.1051335,6.20628e-05,10,False
229,5.4141571,-4.3840631,5.227745,-4.4388053,5.1914758,6.2404215e-05,10,False
230,5.3906173,-4.487716,5.3189371,-4.5452382,5.2827678,6.3459244e-05,10,False
231,5.3672813,-4.5949606,5.4146702,-4.6537586,5.3794995,6.3371629e-05,10,False
232,5.3441465,-4.7052001,5.5180941,-4.7625151,5.4774503,6.6907477e-05,10,False
233,5.3212102,-4.8184308,5.6250889,-4.87645,5.5884314,6.1423681e-05,10,False
234,5.29847,-4.9343001,5.7384523,-4.9931382,5.7044451,5.6871989e-05,10,False
