wavelength_nm,energy_ev,eps1_perp,eps2_perp,eps1_para,eps2_para,redchi,nfev,success
1125,1.1020818,12.874673,0.96588221,12.866774,0.82472172,8.1701048e-05,10,False
1127.5,1.0996381,12.833645,0.94687269,12.820641,0.81958399,7.6965721e-05,10,False
1130,1.0972053,12.787394,0.93124368,12.770563,0.81941302,7.8233003e-05,10,False
1132.5,1.0947832,12.736708,0.9275513,12.720602,0.82192456,8.856573e-05,10,False
1135,1.0923718,12.69021,0.9300752,12.676131,0.82292746,8.6064293e-05,10,False
1137.5,1.089971,12.646334,0.93741457,12.635979,0.82938257,8.8838201e-05,10,False
1140,1.0875807,12.605516,0.94906143,12.601767,0.85266153,7.7723758e-05,10,False
1142.5,1.0852009,12.570074,0.96659775,12.568622,0.86679717,7.7710679e-05,10,False
1145,1.0828314,12.538789,0.98805374,12.538915,0.87743277,8.3405381e-05,10,False
1147.5,1.0804723,12.511002,1.0107282,12.517888,0.90929038,7.8040339e-05,10,False
1150,1.0781235,12.484919,1.0353741,12.499055,0.93390502,7.6468333e-05,10,False
1152.5,1.0757848,12.460167,1.0607051,12.481725,0.95290779,8.5672182e-05,10,False
1155,1.0734563,12.443607,1.0851348,12.46427,0.98312145,8.0022634e-05,10,False
1157.5,1.0711378,12.429663,1.1098345,12.451979,1.0063132,8.0485206e-05,10,False
1160,1.0688293,12.419108,1.1354166,12.446531,1.0214164,8.9568339e-05,10,False
1162.5,1.0665307,12.411633,1.1649238,12.441623,1.043341,8.2985259e-05,10,False
1165,1.064242,12.405722,1.1924609,12.436791,1.0644632,7.7277637e-05,10,False
1167.5,1.0619632,12.403483,1.2165784,12.434665,1.0801896,8.1054269e-05,10,False
1170,1.059694,12.403803,1.2430394,12.437318,1.100597,8.766168e-05,10,False
1172.5,1.0574345,12.405245,1.269824,12.441232,1.1205075,9.2447585e-05,10,False
1175,1.0551847,12.409804,1.2921935,12.44204,1.133016,8.9090955e-05,10,False
1177.5,1.0529444,12.417674,1.3153618,12.447891,1.1446268,8.371691e-05,10,False
1180,1.0507135,12.427308,1.338412,12.456849,1.1556303,7.5318648e-05,10,False
1182.5,1.0484922,12.44005,1.3510101,12.462815,1.1701178,7.7923278e-05,10,False
1185,1.0462802,12.45515,1.3692095,12.473062,1.1778259,7.8954443e-05,10,False
1187.5,1.0440775,12.472654,1.3925776,12.487144,1.1796753,7.9210185e-05,10,False
1190,1.041884,12.48827,1.402088,12.499006,1.1857958,8.3165214e-05,10,False
1192.5,1.0396998,12.507302,1.4108628,12.510169,1.191459,8.2922256e-05,10,False
1195,1.0375247,12.533022,1.4216172,12.522679,1.1946232,8.2829695e-05,10,False
1197.5,1.0353587,12.553148,1.4257557,12.536173,1.192839,8.2653404e-05,10,False
1200,1.0332017,12.573533,1.4281976,12.549125,1.1895854,8.600735e-05,10,False
1202.5,1.0310536,12.598955,1.4302018,12.562242,1.1847933,8.7798215e-05,10,False
1205,1.0289145,12.620312,1.4269739,12.574732,1.1799093,8.6490487e-05,10,False
1207.5,1.0267843,12.640505,1.4214174,12.58641,1.1754342,8.5904006e-05,10,False
1210,1.0246628,12.666313,1.4135797,12.596985,1.1702876,8.6434651e-05,10,False
1212.5,1.0225501,12.685518,1.4040985,12.607115,1.1619476,8.1378469e-05,10,False
1215,1.0204461,12.699889,1.3938136,12.616653,1.151719,7.8059566e-05,10,False
1217.5,1.0183507,12.720391,1.3743871,12.6235,1.1382248,7.5263816e-05,10,False
1220,1.0162639,12.735833,1.3575414,12.629355,1.1275439,7.7501201e-05,10,False
1222.5,1.0141857,12.745699,1.3424306,12.633615,1.1205825,8.518338e-05,10,False
1225,1.0121159,12.759149,1.3208624,12.6384,1.1079205,7.879316e-05,10,False
1227.5,1.0100546,12.768216,1.299375,12.642053,1.0978398,7.7797457e-05,10,False
1230,1.0080016,12.769686,1.2785698,12.644812,1.0927097,8.886423e-05,10,False
1232.5,1.005957,12.776883,1.2544384,12.647394,1.0806754,8.536521e-05,10,False
1235,1.0039206,12.783174,1.2313934,12.64874,1.0667314,8.0542922e-05,10,False
