wavelength_nm,energy_ev,eps1_perp,eps2_perp,eps1_para,eps2_para,redchi,nfev,success
450,2.7552044,13.409014,14.602938,13.062549,14.52866,5.5076513e-05,10,False
451,2.7490953,13.499008,14.519613,13.166788,14.438137,5.7434377e-05,10,False
452,2.7430132,13.601074,14.431442,13.228004,14.389522,6.0950928e-05,10,False
453,2.736958,13.703131,14.340486,13.288216,14.319196,5.631163e-05,10,False
454,2.7309295,13.809697,14.234315,13.337839,14.264912,5.9310392e-05,10,False
455,2.7249274,13.911348,14.135374,13.408018,14.197424,5.7433059e-05,10,False
456,2.7189517,13.976582,14.046104,13.524593,14.111893,5.1796466e-05,10,False
457,2.7130022,14.059662,13.954755,13.59864,14.05435,5.2305429e-05,10,False
458,2.7070786,14.136412,13.859592,13.69614,13.973965,5.7800765e-05,10,False
459,2.7011808,14.207855,13.76919,13.770567,13.905083,5.3678539e-05,10,False
460,2.6953087,14.290773,13.670619,13.801106,13.85202,5.0608774e-05,10,False
461,2.689462,14.350204,13.577026,13.879659,13.774118,5.3679492e-05,10,False
462,2.6836407,14.411349,13.47608,13.96251,13.700467,5.0163888e-05,10,False
463,2.6778445,14.482538,13.377516,14.0498,13.635431,4.3339285e-05,10,False
464,2.6720732,14.53698,13.29536,14.141322,13.546764,4.9125106e-05,10,False
465,2.6663268,14.616581,13.198506,14.16565,13.489185,5.4222899e-05,10,False
466,2.6606051,14.663681,13.10601,14.249212,13.423431,5.0446686e-05,10,False
467,2.6549079,14.694747,13.013848,14.340687,13.34489,6.1388342e-05,10,False
468,2.649235,14.767566,12.914663,14.358186,13.284214,4.9663136e-05,10,False
469,2.6435863,14.810075,12.816573,14.43165,13.223314,4.5206978e-05,10,False
470,2.6379617,14.838281,12.727761,14.518397,13.153398,4.5851756e-05,10,False
471,2.6323609,14.887948,12.643448,14.582607,13.072057,5.7738138e-05,10,False
472,2.6267839,14.94205,12.549708,14.632478,12.996458,5.6068212e-05,10,False
473,2.6212304,14.980114,12.454671,14.709198,12.913516,5.1467563e-05,10,False
474,2.6157004,15.039312,12.365739,14.734507,12.852841,5.8297476e-05,10,False
475,2.6101937,15.078872,12.27957,14.800975,12.77297,5.7164625e-05,10,False
476,2.6047101,15.118729,12.187623,14.859761,12.706893,5.4390985e-05,10,False
477,2.5992494,15.160628,12.103611,14.928673,12.625323,5.552538e-05,10,False
478,2.5938117,15.19326,12.018627,15.001862,12.536433,6.0192319e-05,10,False
479,2.5883966,15.22814,11.935491,15.0616,12.473131,5.7124272e-05,10,False
480,2.5830041,15.261702,11.84966,15.131477,12.392267,6.10846e-05,10,False
481,2.5776341,15.297447,11.770078,15.184777,12.319425,5.2107219e-05,10,False
482,2.5722863,15.334232,11.687303,15.222213,12.234817,4.7872561e-05,10,False
483,2.5669606,15.370831,11.600388,15.256947,12.168878,4.5329207e-05,10,False
484,2.561657,15.401916,11.519374,15.31607,12.101177,5.1105027e-05,10,False
485,2.5563752,15.424114,11.434398,15.416677,12.000772,5.4250146e-05,10,False
486,2.5511152,15.45234,11.35758,15.500818,11.903342,4.890607e-05,10,False
487,2.5458768,15.476624,11.295226,15.522629,11.846655,5.5584724e-05,10,False
488,2.5406598,15.504059,11.206329,15.53509,11.775294,5.2350947e-05,10,False
489,2.5354642,15.528198,11.123447,15.574514,11.678997,4.7373149e-05,10,False
490,2.5302898,15.535548,11.050211,15.660712,11.58581,5.301978e-05,10,False
491,2.5251364,15.564169,10.975772,15.692789,11.513256,5.7248973e-05,10,False
492,2.520004,15.590479,10.898823,15.71863,11.44292,4.7772087e-05,10,False
493,2.5148925,15.620228,10.817583,15.761973,11.357811,4.7550391e-05,10,False
494,2.5098016,15.635677,10.747555,15.811417,11.27531,4.9868338e-05,10,False
495,2.5047313,15.640015,10.676127,15.87315,11.189784,4.9768889e-05,10,False
496,2.4996814,15.66698,10.597708,15.908215,11.100306,4.8643853e-05,10,False
497,2.4946519,15.699524,10.522554,15.914165,11.029593,5.3858154e-05,10,False
498,2.4896425,15.710036,10.450445,15.955562,10.945884,5.233075e-05,10,False
499,2.4846533,15.726013,10.385178,15.994636,10.848058,5.4683461e-05,10,False
500,2.479684,15.738972,10.308154,16.036155,10.76346,5.3616367e-05,10,False
501,2.4747345,15.756517,10.234621,16.063356,10.673982,5.7432448e-05,10,False
502,2.4698047,15.772007,10.16908,16.087845,10.600405,6.0208374e-05,10,False
503,2.4648946,15.784762,10.092582,16.115972,10.526653,5.2359485e-05,10,False
504,2.4600039,15.799117,10.019435,16.145666,10.438596,4.3127688e-05,10,False
505,2.4551326,15.812879,9.952596,16.175436,10.356681,4.5025632e-05,10,False
506,2.4502806,15.822338,9.8843631,16.202991,10.275306,4.1288801e-05,10,False
507,2.4454477,15.832449,9.8199317,16.220453,10.194961,4.2705352e-05,10,False
508,2.4406338,15.851238,9.7515744,16.236118,10.115145,5.2131845e-05,10,False
509,2.4358389,15.855116,9.6769842,16.258193,10.027995,5.2003756e-05,10,False
510,2.4310627,15.861582,9.6112825,16.272748,9.9455153,4.3349652e-05,10,False
511,2.4263053,15.866409,9.547898,16.298749,9.8630493,4.5973872e-05,10,False
